ISO_Code,Year,EFW,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,RGDP Per Capita,RGDP Per Capita Lag,Log RGDP Per Capita,Log RGDP Per Capita Lag,North America
ALB,2014-01-01,-0.05289624992290065,-0.022219529967971496,-0.3367484689133935,0.04369426841286206,0.09951189908375468,-0.04871941822975412,-224.0,-310.0,-0.022581604696709334,-0.03043329008346518,0
ALB,2013-01-01,-0.19724459930210259,-0.07413320253786804,-0.12295787411723946,0.06162271970146804,-0.5028594480941759,-0.3478951914627002,-148.0,-224.0,-0.015204730969427871,-0.022581604696709334,0
ALB,2012-01-01,-0.057193125553068214,0.2884706239225059,-0.0722903694726682,0.01979817636157577,-0.5903488499679472,0.0684047913911936,-68.0,-148.0,-0.007064230499214119,-0.015204730969427871,0
ALB,2011-01-01,0.04873203928974412,-0.2754091282558644,0.4033903293933703,0.064519394595278,0.003520515389126899,0.04763908532680894,-108.0,-68.0,-0.011323249522053658,-0.007064230499214119,0
ALB,2010-01-01,-0.0003381523281289489,0.018698509376503303,0.38098075204210513,-0.0502373292598044,0.12798099886517633,-0.4791136926646242,-212.0,-108.0,-0.022607062165709735,-0.011323249522053658,0
ALB,2009-01-01,-0.06686925533337984,-0.05371571123138441,0.28801704084967117,-0.09200130664398642,-0.0033874731801164515,-0.4732588264610831,-318.0,-212.0,-0.03489874621867628,-0.022607062165709735,0
ALB,2008-01-01,-0.03760397572211094,0.40392530854303565,-0.23153911062756993,-0.23767993145906452,-0.3917457407747351,0.2690195957077792,-295.0,-318.0,-0.03350111735310968,-0.03489874621867628,0
ALB,2007-01-01,-0.018173962047437264,0.4436363474725944,-0.3361354843102484,0.02911409856361402,-0.06713664795295315,-0.16034812401019138,-624.0,-295.0,-0.07479224327618716,-0.03350111735310968,0
ALB,2006-01-01,-0.10940973841557433,-0.5937228998046997,-0.16196140596873398,0.1481673354732056,-0.04671791190841201,0.10718619013076136,-490.0,-624.0,-0.06292190696966493,-0.07479224327618716,0
ALB,2005-01-01,-0.16301977177444282,-0.008772239140887095,-0.10388488921349825,0.06750152703020262,-0.4104641746725841,-0.3594790828754393,-465.0,-490.0,-0.06361118451418335,-0.06292190696966493,0
ALB,2004-01-01,-0.12690020571330507,-0.6334996890527327,-0.16800735755838314,0.02261253709428601,-0.05681558038582413,0.20120906133612948,-417.0,-465.0,-0.06070407412522805,-0.06361118451418335,0
ALB,2003-01-01,0.17300145716143778,0.4347824505015865,0.19171737211235484,0.14400545210853544,0.001843522186557145,0.09265848889815675,-398.0,-417.0,-0.061591245232369474,-0.06070407412522805,0
